                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0826,                 3.9173,                 2.4113,                0.00247,                   0.75,                0.04312,                0.01469,                 2.0923,                 4.1935,                 2.5945,                      0,                      0,                      0
                      2,                 1.9671,                 3.6223,                 2.1327,                0.00247,                   0.75,                0.02664,                0.01004,                 2.1477,                 4.1209,                 2.6344,             1.6615e-05,             1.6615e-05,             1.6615e-05
                      3,                 2.0119,                 3.8446,                 2.3016,                0.00246,                   0.75,                0.04314,                0.01529,                 2.1712,                 4.1069,                 2.6528,              3.312e-05,              3.312e-05,              3.312e-05
                      4,                  1.626,                 3.7257,                 1.9603,                0.00245,                   0.75,                0.02663,                0.00983,                 2.1777,                 4.0956,                 2.6511,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      5,                 2.0277,                 3.7914,                 2.4183,                0.00245,                   0.75,                0.04312,                0.01828,                  2.174,                 4.0803,                 2.6344,               6.58e-05,               6.58e-05,               6.58e-05
                      6,                 2.2582,                 4.1678,                 2.4329,                0.00245,                   0.75,                0.06374,                0.01946,                 1.9085,                 4.1553,                 2.4654,             8.1975e-05,             8.1975e-05,             8.1975e-05
                      7,                 1.6607,                  3.734,                 2.0549,                0.00245,                   0.75,                0.06383,                0.01861,                 1.6961,                 4.1798,                 2.2021,              9.804e-05,              9.804e-05,              9.804e-05
                      8,                 1.6876,                 3.4775,                 1.9549,                0.00244,                   0.75,                0.08442,                0.02106,                 1.7046,                 4.1724,                 2.2018,             0.00011399,             0.00011399,             0.00011399
                      9,                 1.6791,                 3.4845,                 1.9282,                0.00349,                      1,                0.12179,                0.08251,                 1.5459,                 3.9332,                 1.8927,             0.00012984,             0.00012984,             0.00012984
                     10,                 1.4824,                 3.2866,                 1.7093,                0.00353,                      1,                0.46944,                0.27337,                 1.5616,                 3.7723,                 1.8933,             0.00014557,             0.00014557,             0.00014557
                     11,                 1.3006,                 3.0143,                 1.5241,                0.00346,                      1,                0.59471,                0.35812,                 1.5073,                 3.6438,                 1.7842,              0.0001612,              0.0001612,              0.0001612
                     12,                 1.2789,                 2.9341,                 1.5863,                0.00344,                      1,                 0.5607,                0.44814,                 1.2872,                  3.558,                 1.5871,             0.00017671,             0.00017671,             0.00017671
                     13,                 1.2066,                 2.6085,                 1.4975,                 0.0034,                      1,                0.56076,                  0.442,                 1.0908,                 3.4193,                 1.4322,             0.00019212,             0.00019212,             0.00019212
                     14,                 1.2536,                 2.6506,                 1.4658,                 0.0034,                      1,                0.56198,                0.44221,                 1.0821,                 3.4056,                 1.4984,             0.00020741,             0.00020741,             0.00020741
                     15,                 1.1164,                 2.2739,                 1.3947,                0.00337,                      1,                 0.6965,                 0.5028,                  1.132,                 3.2875,                 1.5046,              0.0002226,              0.0002226,              0.0002226
                     16,                 1.1424,                 2.3526,                 1.4042,                0.86209,                    0.5,                 0.6965,                0.50762,                 1.1218,                 3.1212,                 1.4237,             0.00023767,             0.00023767,             0.00023767
