                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0933,                 1.7904,                 1.2974,                0.94918,                 0.9593,                0.97488,                0.76049,                0.83022,                 0.9511,                 1.0623,              0.0033268,              0.0033268,              0.0033268
                      2,                0.92272,                0.91498,                 1.1245,                0.92737,                0.93597,                0.96219,                0.75311,                 0.8266,                0.69545,                 1.0615,              0.0066381,              0.0066381,              0.0066381
                      3,                0.95464,                0.77711,                 1.1487,                0.89817,                0.90666,                 0.9494,                  0.734,                0.85105,                0.69553,                 1.1091,              0.0099275,              0.0099275,              0.0099275
                      4,                0.94814,                0.68403,                  1.148,                0.95407,                0.96247,                0.97388,                0.79657,                0.72819,                0.44963,                   1.03,               0.009901,               0.009901,               0.009901
                      5,                0.88992,                0.61873,                 1.1161,                0.94294,                0.96221,                  0.978,                0.79638,                  0.747,                0.43638,                  1.037,               0.009901,               0.009901,               0.009901
                      6,                0.85719,                0.57541,                 1.1018,                 0.9582,                0.96413,                 0.9783,                0.76506,                 0.8415,                0.43938,                 1.0811,               0.009868,               0.009868,               0.009868
                      7,                0.82945,                0.54649,                 1.0877,                0.96222,                0.97196,                0.98478,                0.83741,                0.65649,                0.36559,                0.97843,               0.009835,               0.009835,               0.009835
                      8,                0.80233,                0.52262,                 1.0721,                0.95857,                0.97408,                0.98456,                0.84021,                0.63822,                0.35984,                0.95615,               0.009802,               0.009802,               0.009802
                      9,                0.79511,                0.51261,                  1.069,                0.95959,                0.97494,                 0.9856,                0.83872,                0.62952,                0.35974,                0.95599,               0.009769,               0.009769,               0.009769
                     10,                0.77561,                0.49523,                 1.0576,                 0.9661,                0.97187,                0.98588,                 0.8477,                0.61085,                0.32676,                0.94968,               0.009736,               0.009736,               0.009736
                     11,                0.75996,                0.48299,                 1.0506,                0.96733,                0.97665,                0.98846,                0.84648,                0.64214,                0.33139,                0.96076,               0.009703,               0.009703,               0.009703
                     12,                0.74969,                0.47349,                 1.0454,                0.96535,                0.97347,                0.98682,                0.85103,                0.60337,                 0.3166,                0.94592,                0.00967,                0.00967,                0.00967
                     13,                0.74122,                0.46555,                 1.0427,                0.95891,                0.98121,                0.98824,                0.85817,                0.59289,                0.31626,                0.94806,               0.009637,               0.009637,               0.009637
                     14,                0.73308,                0.46202,                 1.0359,                0.96341,                0.97896,                0.98625,                0.86085,                0.59543,                0.31733,                0.92995,               0.009604,               0.009604,               0.009604
                     15,                0.72792,                0.44907,                 1.0311,                0.95882,                0.98293,                0.98736,                0.86369,                0.58231,                 0.3066,                 0.9231,               0.009571,               0.009571,               0.009571
                     16,                 0.7125,                0.44432,                 1.0256,                0.96074,                0.97845,                0.98892,                0.86576,                0.57751,                0.29717,                0.93349,               0.009538,               0.009538,               0.009538
                     17,                0.71295,                0.43792,                 1.0291,                0.96476,                0.97587,                0.98865,                0.86537,                 0.5859,                0.30024,                0.94229,               0.009505,               0.009505,               0.009505
                     18,                 0.7015,                0.43294,                 1.0191,                0.96451,                0.97859,                 0.9878,                0.87455,                0.55532,                0.28383,                0.91616,               0.009472,               0.009472,               0.009472
                     19,                 0.6937,                0.42553,                 1.0177,                0.96511,                0.97916,                 0.9891,                0.87376,                0.56009,                 0.2908,                0.92391,               0.009439,               0.009439,               0.009439
                     20,                0.69009,                0.42254,                 1.0112,                0.95779,                 0.9842,                0.98887,                 0.8733,                0.57023,                0.28632,                0.92747,               0.009406,               0.009406,               0.009406
                     21,                0.68831,                0.41784,                 1.0095,                0.96286,                0.98313,                 0.9892,                0.87904,                 0.5459,                0.27721,                0.90461,               0.009373,               0.009373,               0.009373
                     22,                0.68385,                0.41322,                 1.0071,                0.97073,                0.97212,                0.98966,                0.86065,                0.56935,                0.28724,                 0.9278,                0.00934,                0.00934,                0.00934
                     23,                0.68352,                0.41299,                 1.0091,                0.96325,                0.98045,                0.98888,                0.87083,                0.54451,                0.27442,                0.91193,               0.009307,               0.009307,               0.009307
                     24,                0.67525,                0.41183,                 1.0016,                0.96083,                0.98649,                0.98967,                0.88276,                0.53695,                0.26768,                0.90043,               0.009274,               0.009274,               0.009274
                     25,                0.66598,                0.40346,                0.99904,                0.96278,                0.97837,                 0.9888,                0.88031,                0.54121,                0.26866,                0.90551,               0.009241,               0.009241,               0.009241
                     26,                0.65906,                0.40211,                 1.0016,                0.97349,                0.96518,                0.98934,                0.88446,                 0.5381,                0.26685,                0.91274,               0.009208,               0.009208,               0.009208
                     27,                0.66949,                0.40322,                 1.0013,                0.96587,                0.97851,                0.98888,                 0.8787,                0.53908,                0.27285,                0.91328,               0.009175,               0.009175,               0.009175
                     28,                 0.6593,                0.39902,                0.99372,                0.96326,                0.98046,                0.98916,                0.88232,                0.53603,                0.26688,                0.90834,               0.009142,               0.009142,               0.009142
                     29,                0.65312,                0.39444,                0.99109,                 0.9695,                0.97657,                0.98952,                0.88543,                0.52403,                0.25503,                 0.8898,               0.009109,               0.009109,               0.009109
                     30,                0.64605,                0.39038,                0.98639,                0.97256,                0.96965,                 0.9894,                0.88272,                0.53588,                 0.2662,                0.89831,               0.009076,               0.009076,               0.009076
                     31,                0.64703,                0.38651,                0.99246,                0.96059,                0.98144,                0.98966,                0.88581,                0.51895,                0.25745,                0.90656,               0.009043,               0.009043,               0.009043
                     32,                0.64301,                0.38758,                0.99138,                0.96209,                0.98615,                0.98953,                0.89188,                0.51635,                0.25722,                0.89609,                0.00901,                0.00901,                0.00901
                     33,                0.64127,                0.38343,                 0.9885,                0.96402,                0.98149,                0.99017,                 0.8894,                0.51672,                0.25263,                0.90095,               0.008977,               0.008977,               0.008977
                     34,                0.65158,                0.38803,                0.99341,                0.96441,                 0.9836,                0.99028,                0.88754,                0.52285,                0.25416,                0.90019,               0.008944,               0.008944,               0.008944
                     35,                0.63545,                0.38301,                0.98539,                 0.9662,                0.97984,                0.98985,                0.89283,                0.52112,                0.25141,                0.90711,               0.008911,               0.008911,               0.008911
                     36,                 0.6297,                0.37517,                0.98172,                0.96646,                0.97837,                0.98995,                0.88963,                 0.5144,                0.24985,                0.90213,               0.008878,               0.008878,               0.008878
                     37,                0.63563,                0.38007,                0.98712,                0.96623,                0.97939,                0.98959,                0.88886,                0.51759,                0.24986,                0.89821,               0.008845,               0.008845,               0.008845
                     38,                0.63402,                0.37445,                0.97958,                0.97133,                0.97305,                0.99052,                0.89402,                  0.506,                0.24702,                0.88238,               0.008812,               0.008812,               0.008812
                     39,                0.62211,                0.37151,                 0.9761,                0.97029,                0.97109,                0.98965,                0.89264,                0.50326,                0.24704,                0.89107,               0.008779,               0.008779,               0.008779
                     40,                0.62942,                0.37427,                0.97789,                 0.9655,                0.98001,                0.99026,                 0.8954,                0.50187,                0.24363,                0.89099,               0.008746,               0.008746,               0.008746
                     41,                 0.6298,                0.37401,                0.97777,                0.96627,                0.97534,                0.98986,                0.89713,                0.50363,                0.24108,                0.88146,               0.008713,               0.008713,               0.008713
                     42,                0.62087,                 0.3667,                0.97659,                0.97126,                0.97188,                0.99035,                0.89756,                0.50202,                0.24026,                0.88667,                0.00868,                0.00868,                0.00868
                     43,                0.62879,                0.37362,                0.98299,                0.96696,                 0.9749,                0.98994,                0.89693,                0.50134,                0.24181,                0.88709,               0.008647,               0.008647,               0.008647
                     44,                0.61521,                0.36262,                0.97351,                0.96688,                0.98127,                0.99056,                0.89865,                0.49811,                0.23485,                0.88065,               0.008614,               0.008614,               0.008614
