                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0875,                 1.7825,                 1.2876,                0.87678,                0.83436,                0.88789,                0.63039,                 1.0538,                 1.3634,                 1.2237,              0.0033268,              0.0033268,              0.0033268
                      2,                0.92265,                0.91292,                 1.1222,                0.94236,                0.96282,                0.97236,                0.77195,                0.77769,                0.61386,                  1.043,              0.0066381,              0.0066381,              0.0066381
                      3,                0.94325,                0.76828,                 1.1397,                0.93683,                0.95409,                0.97097,                 0.7598,                0.83176,                 0.5642,                 1.0775,              0.0099275,              0.0099275,              0.0099275
                      4,                0.95006,                 0.6852,                 1.1483,                0.91844,                0.93322,                0.96196,                0.72345,                0.90874,                0.57768,                 1.1227,               0.009901,               0.009901,               0.009901
                      5,                 0.8901,                0.61713,                 1.1172,                0.95505,                0.97574,                0.98231,                0.80613,                0.72365,                0.41353,                 1.0161,               0.009901,               0.009901,               0.009901
                      6,                0.85249,                  0.573,                 1.0997,                0.94498,                0.94379,                0.97623,                0.79867,                0.71659,                0.42856,                 1.0208,               0.009868,               0.009868,               0.009868
                      7,                0.82652,                0.54161,                  1.083,                0.95587,                   0.98,                0.98512,                0.83061,                 0.6655,                0.35568,                0.96967,               0.009835,               0.009835,               0.009835
                      8,                0.80009,                0.52109,                  1.075,                0.93194,                0.93487,                0.96743,                0.82132,                0.65342,                0.42712,                0.96503,               0.009802,               0.009802,               0.009802
                      9,                0.79245,                0.51513,                  1.071,                0.95911,                0.97911,                0.98716,                0.83524,                 0.6516,                0.35531,                0.95942,               0.009769,               0.009769,               0.009769
                     10,                 0.7725,                0.49657,                   1.06,                0.96172,                0.97474,                0.98434,                0.84168,                0.63249,                 0.3474,                0.97495,               0.009736,               0.009736,               0.009736
                     11,                0.75926,                0.47778,                 1.0506,                0.95894,                0.97971,                0.98851,                0.85043,                0.61665,                0.32622,                0.95133,               0.009703,               0.009703,               0.009703
                     12,                0.74985,                0.47204,                 1.0421,                0.96391,                0.97192,                0.98738,                0.85271,                0.61078,                 0.3197,                0.95445,                0.00967,                0.00967,                0.00967
