                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.05,                 1.3627,                 1.2558,                0.92157,                 0.9285,                0.96131,                 0.7531,                 0.8135,                0.74688,                 1.0605,             0.00055457,             0.00055457,             0.00055457
                      2,                0.89367,                0.70071,                 1.1226,                0.94289,                0.95521,                0.97259,                0.77463,                 0.7773,                0.48962,                 1.0358,             0.00074386,             0.00074386,             0.00074386
                      3,                0.80314,                0.55072,                  1.075,                0.95202,                0.96483,                0.98128,                0.81829,                0.68515,                0.39822,                0.97087,             0.00056641,             0.00056641,             0.00056641
