                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.61691,                0.36401,                0.97667,                0.97096,                0.97889,                0.99034,                0.89518,                0.49788,                 0.2424,                0.88306,               0.006535,               0.006535,               0.006535
                     38,                 0.6123,                0.35974,                0.97218,                0.97052,                0.97295,                0.99016,                0.89712,                0.50165,                0.24098,                 0.8867,               0.006436,               0.006436,               0.006436
                     39,                0.60362,                0.35709,                0.96445,                 0.9591,                0.98422,                0.99012,                 0.8968,                0.50518,                 0.2434,                 0.8775,               0.006337,               0.006337,               0.006337
                     40,                0.61145,                0.35662,                0.97217,                0.96277,                 0.9815,                0.99041,                 0.9025,                0.49452,                0.23679,                0.88313,               0.006238,               0.006238,               0.006238
                     41,                0.60588,                0.35701,                0.96643,                0.96832,                0.97828,                0.99007,                0.89791,                0.49675,                0.23729,                0.87519,               0.006139,               0.006139,               0.006139
                     42,                 0.6035,                  0.351,                 0.9655,                0.96046,                0.98879,                0.99044,                0.90071,                0.49286,                0.23342,                0.87262,                0.00604,                0.00604,                0.00604
                     43,                0.60103,                0.35356,                 0.9694,                 0.9635,                0.98133,                0.99065,                0.90219,                0.48984,                0.23462,                0.88676,               0.005941,               0.005941,               0.005941
                     44,                   0.59,                0.34411,                0.96416,                0.96746,                0.98167,                0.99047,                0.90245,                0.48761,                0.23079,                0.87443,               0.005842,               0.005842,               0.005842
                     45,                0.59276,                 0.3476,                0.96099,                0.96601,                0.98454,                0.99058,                0.90238,                0.48657,                0.23009,                0.87798,               0.005743,               0.005743,               0.005743
                     46,                0.58559,                0.34056,                0.95814,                0.96322,                0.98296,                0.99047,                0.90267,                 0.4883,                0.23135,                0.87483,               0.005644,               0.005644,               0.005644
                     47,                0.58692,                0.34204,                  0.958,                 0.9679,                0.97668,                0.99045,                0.90441,                0.48414,                0.22624,                0.86951,               0.005545,               0.005545,               0.005545
                     48,                 0.5793,                0.33956,                0.95446,                0.96554,                0.98194,                 0.9907,                0.90614,                0.47938,                0.22598,                0.87079,               0.005446,               0.005446,               0.005446
                     49,                0.58176,                0.33508,                0.95483,                0.95792,                0.98757,                0.99029,                0.91019,                 0.4778,                0.22543,                0.86731,               0.005347,               0.005347,               0.005347
                     50,                0.57851,                  0.338,                0.95057,                0.96344,                 0.9828,                0.99045,                0.90586,                0.47759,                0.22351,                0.86175,               0.005248,               0.005248,               0.005248
                     51,                0.57268,                0.33097,                0.94995,                0.97217,                0.97235,                0.99019,                0.90828,                0.47724,                0.22266,                0.86508,               0.005149,               0.005149,               0.005149
                     52,                0.57422,                 0.3335,                0.95096,                0.96525,                0.98214,                0.99097,                0.90696,                0.47889,                0.22131,                0.87164,                0.00505,                0.00505,                0.00505
                     53,                0.57423,                0.33354,                0.95352,                0.96396,                 0.9842,                0.99092,                0.90605,                0.47529,                0.22139,                0.86228,               0.004951,               0.004951,               0.004951
                     54,                0.56878,                0.32957,                0.95082,                0.96251,                0.98593,                0.99093,                0.90812,                0.47385,                0.21983,                0.86242,               0.004852,               0.004852,               0.004852
                     55,                0.57215,                0.33467,                0.95035,                0.96431,                0.98413,                0.99075,                0.90922,                 0.4731,                0.21878,                0.85908,               0.004753,               0.004753,               0.004753
                     56,                0.55468,                0.32182,                0.94003,                0.96132,                0.98695,                0.99098,                 0.9119,                0.46807,                0.21397,                0.85754,               0.004654,               0.004654,               0.004654
                     57,                0.55815,                0.31921,                0.94202,                0.96404,                0.98654,                0.99056,                 0.9127,                0.46521,                0.21354,                0.85221,               0.004555,               0.004555,               0.004555
                     58,                0.56111,                0.32482,                0.94748,                0.96696,                0.98229,                0.99085,                 0.9124,                0.46302,                0.21093,                0.85943,               0.004456,               0.004456,               0.004456
                     59,                0.55693,                0.32143,                0.94833,                0.96383,                0.98673,                0.99105,                0.91136,                0.46329,                 0.2122,                0.86186,               0.004357,               0.004357,               0.004357
                     60,                0.55073,                0.31886,                0.94347,                0.96213,                 0.9873,                0.99099,                0.91329,                0.46198,                0.21215,                0.86338,               0.004258,               0.004258,               0.004258
                     61,                0.55427,                0.31962,                0.94231,                0.96155,                0.98875,                0.99098,                0.91333,                0.46504,                0.21186,                0.85803,               0.004159,               0.004159,               0.004159
                     62,                 0.5477,                0.31663,                0.94509,                0.96119,                0.98914,                0.99096,                0.91238,                0.46394,                0.21317,                0.86137,                0.00406,                0.00406,                0.00406
                     63,                0.54328,                0.31528,                0.93705,                0.95582,                0.99087,                0.99115,                0.91341,                0.46297,                0.21423,                0.85932,               0.003961,               0.003961,               0.003961
                     64,                0.53777,                0.31423,                0.94011,                0.95991,                 0.9859,                0.99101,                0.91208,                0.46011,                0.21091,                0.86039,               0.003862,               0.003862,               0.003862
                     65,                0.54361,                0.31227,                0.93705,                0.96079,                0.98843,                0.99086,                0.91458,                0.46106,                0.20853,                0.85965,               0.003763,               0.003763,               0.003763
                     66,                0.53794,                0.30758,                 0.9336,                0.96096,                0.99018,                 0.9907,                0.91263,                0.46091,                0.20799,                0.85689,               0.003664,               0.003664,               0.003664
                     67,                0.53665,                0.30519,                0.93582,                0.95962,                0.99028,                0.99065,                0.91251,                0.46026,                0.20636,                0.85951,               0.003565,               0.003565,               0.003565
                     68,                0.53007,                0.30578,                0.93319,                0.95525,                 0.9921,                0.99062,                0.91521,                0.45734,                 0.2081,                0.85875,               0.003466,               0.003466,               0.003466
                     69,                0.53435,                0.30495,                0.93291,                  0.959,                0.98787,                0.99047,                0.91438,                0.45702,                0.20809,                0.85673,               0.003367,               0.003367,               0.003367
                     70,                0.53236,                0.30508,                0.93084,                0.96214,                0.98561,                0.99076,                0.91488,                0.45543,                0.20729,                0.85488,               0.003268,               0.003268,               0.003268
                     71,                0.52691,                0.30104,                0.92901,                0.96113,                0.99041,                0.99093,                0.91557,                0.45324,                0.20544,                0.85492,               0.003169,               0.003169,               0.003169
                     72,                0.52869,                0.30192,                0.93347,                0.95997,                0.98895,                0.99127,                0.91577,                0.45236,                0.20629,                0.85329,                0.00307,                0.00307,                0.00307
                     73,                0.52544,                0.29769,                0.92928,                0.95843,                  0.989,                0.99104,                0.91662,                0.45128,                0.20408,                 0.8533,               0.002971,               0.002971,               0.002971
                     74,                0.51514,                0.29342,                0.92778,                0.96124,                 0.9862,                0.99116,                0.91623,                0.45117,                0.20409,                0.85547,               0.002872,               0.002872,               0.002872
                     75,                0.51741,                0.29581,                0.93024,                0.96145,                0.98691,                0.99102,                0.91753,                0.45125,                0.20349,                0.85842,               0.002773,               0.002773,               0.002773
                     76,                0.51767,                0.29509,                0.92954,                 0.9617,                0.98864,                0.99128,                0.91811,                0.44927,                0.20419,                0.85817,               0.002674,               0.002674,               0.002674
                     77,                0.51693,                0.29346,                0.92939,                 0.9603,                0.98889,                0.99111,                0.91707,                0.44923,                0.20321,                0.85659,               0.002575,               0.002575,               0.002575
                     78,                0.51372,                 0.2922,                  0.928,                 0.9605,                0.98995,                0.99129,                0.91892,                0.44693,                0.20211,                0.85522,               0.002476,               0.002476,               0.002476
                     79,                0.51099,                0.29102,                0.92652,                0.95929,                0.98939,                0.99127,                0.91948,                 0.4465,                0.20141,                0.85577,               0.002377,               0.002377,               0.002377
                     80,                0.51113,                0.28989,                0.92329,                0.95713,                0.99084,                0.99129,                0.91938,                 0.4462,                0.20188,                0.85368,               0.002278,               0.002278,               0.002278
                     81,                0.50732,                0.28687,                0.91984,                0.95858,                0.98916,                0.99096,                0.91974,                0.44513,                0.20091,                0.84964,               0.002179,               0.002179,               0.002179
                     82,                0.50206,                0.28746,                 0.9207,                0.96321,                0.98181,                0.99079,                0.91936,                 0.4444,                0.20074,                0.84885,                0.00208,                0.00208,                0.00208
                     83,                0.50125,                0.28425,                 0.9203,                0.96244,                0.98531,                0.99084,                0.91947,                0.44522,                0.20036,                0.84977,               0.001981,               0.001981,               0.001981
                     84,                0.49917,                0.28117,                0.91848,                0.96043,                0.98596,                0.99071,                0.91977,                0.44371,                  0.199,                0.84833,               0.001882,               0.001882,               0.001882
                     85,                0.49629,                0.28031,                0.92018,                0.96033,                0.98558,                0.99041,                0.92009,                0.44343,                0.19814,                0.84975,               0.001783,               0.001783,               0.001783
                     86,                  0.497,                0.28169,                0.91626,                0.96371,                0.98314,                0.99089,                0.92102,                0.44287,                 0.1979,                0.84889,               0.001684,               0.001684,               0.001684
                     87,                0.49624,                0.27898,                0.92061,                0.96097,                0.98626,                0.99078,                0.92177,                0.44235,                0.19881,                0.84855,               0.001585,               0.001585,               0.001585
                     88,                0.48986,                0.27684,                0.91472,                0.95989,                0.98766,                0.99098,                 0.9215,                0.44161,                0.19785,                0.84761,               0.001486,               0.001486,               0.001486
                     89,                0.49261,                0.27749,                0.92097,                0.96145,                0.98608,                0.99101,                0.92194,                0.44064,                0.19786,                0.84809,               0.001387,               0.001387,               0.001387
                     90,                0.48123,                0.27215,                0.91353,                0.95961,                0.99052,                0.99112,                0.92135,                0.44021,                0.19592,                 0.8492,               0.001288,               0.001288,               0.001288
