                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0826,                 3.9173,                 2.4113,                0.00247,                   0.75,                0.04312,                0.01469,                 2.0923,                 4.1935,                 2.5945,                      0,                      0,                      0
                      2,                 1.9671,                 3.6223,                 2.1327,                0.00247,                   0.75,                0.02664,                0.01004,                 2.1477,                 4.1209,                 2.6344,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                 2.0119,                 3.8446,                 2.3016,                0.00246,                   0.75,                0.04314,                0.01529,                 2.1712,                 4.1069,                 2.6528,             1.1336e-05,             1.1336e-05,             1.1336e-05
